"cohort","labanimalid","rfid","sex","box","sha_mean_delta_esc_08_10","sha_mean_08_10","sha_mean_inactive_08_10","sha_mean_to_08_10","sha_loading_phase_intake_08_10","sha_titration_phase_08_10","sha_iti_median_08_10","sha_mean_iti","sha_behavior_stability_08_10","sha_behavior_stability_08_10_na","sha_mean_01_03","sha_mean_inactive_01_03","sha_mean_to_01_03","sha_loading_phase_intake_01_03","sha_titration_phase_01_03","sha_iti_median_01_03","sha_mean_iti_2","sha_behavior_stability_01_03","sha_sd_iti_na_2","sha_rewards_first1hr_2","lga_mean_delta_esc_12_14","lga_mean_12_14","lga_mean_inactive_12_14","lga_mean_to_12_14","lga_loading_phase_intake_12_14","lga_titration_phase_12_14","lga_iti_median_12_14","lga_mean_iti","lga_behavior_stability_12_14","lga_behavior_stability_12_14_na","shock_03","shock_03_pre","shock_03_avg1h","irr_age","irr_agg_change","irr_def_change","irr_total_change","pr_01_sha","pr_02_lga","pr_03_postshock","pr_01_sha_breakpoint","pr_02_lga_breakpoint","pr_03_postshock_breakpoint","pr_max_02_03","pr_max_02_03_breakpoint","weight_surgery","sha_01_age","sha_08_age","lga_12_age","shock_03_age","pr_01_age","pr_02_age","pr_03_age","sha_coefficient_of_variation","sha_coefficient_of_variation_2","lga_coefficient_of_variation","addiction_index_no_sex_z","add_index_sexcohort_z","add_ind_calc_no_z_shock_03","addiction_index_no_sex_z_shock_03_avg1h","add_index_palmer_shock_03_avg1h","add_ind_calc_no_z_shock_03_avg1h","add_ind_olivier","room"
"C08","F821","933000320047288","F","5.0",-1.063356240662988,3.333333333333333,0.3333333333333333,0.6666666666666666,1.0,6.0,1122.5,NULL,1338.9784760686034,592.5007190213497,4.0,0.0,1.3333333333333333,1.0,8.0,NULL,NULL,500.4155173453357,NULL,NULL,-0.8452296706615451,60.66666666666666,1.0,6.333333333333332,7.0,8.0,140.0,NULL,910.0011009239392,910.0011009239392,31.0,0.06896551724137931,2.0,62.0,0.3333333333333335,1.5,1.8333333333333333,2.0,1.0,6.0,4.0,1.0,15.0,6.0,15.0,139.0,69.0,78.0,101.0,108.0,85.0,106.0,112.0,1.1028341201018048,0.7137576912642073,2.726697752981889,0.10434276055093228,-0.2950940045127733,2.5623788505522596,0.416945920722952,0.18156929180822048,0.5378596332388206,-0.4220778542362642,"BSB273C"
"C09","F911","933000320047169","F","11.0",1.0011672643843677,31.0,0.3333333333333333,8.0,10.0,45.0,229.5,NULL,163.60299130954817,163.60299130954817,2.333333333333333,1.0,0.0,0.0,3.0,NULL,NULL,1906.7509505701053,NULL,NULL,-0.8987428583912177,40.333333333333336,3.6666666666666665,0.6666666666666666,1.0,45.0,167.5,NULL,796.4702543914758,796.4702543914758,2.0,0.0,2.0000000000000004,54.0,-4.333333333333333,3.666666666666667,-0.6666666666666661,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,142.0,61.0,70.0,91.0,98.0,75.0,96.0,100.0,0.7030304248404955,1.6314446635893949,1.8237889082161405,-0.932642327752544,-0.9944314368680311,-0.4624466153194098,2.4873607639247783,1.7467874078947794,0.5378596332388208,-1.228920292772971,"BSB273B"
"C09","M978","933000320046834","M","10.0",0.0,0.0,0.0,0.0,nan,nan,nan,NULL,nan,nan,0.0,0.0,0.0,0.0,0.0,NULL,NULL,nan,NULL,NULL,nan,nan,nan,nan,nan,nan,nan,NULL,nan,nan,nan,nan,nan,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,63.0,72.0,93.0,100.0,77.0,98.0,102.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"BSB273E"
"C10","M1064","933000320047928","M","12.0",-0.8309445082426188,3.6666666666666665,8.666666666666666,0.6666666666666666,1.0,5.0,1867.0,NULL,885.2431781013621,885.2431781013621,2.0,7.666666666666668,0.6666666666666666,0.0,5.0,NULL,NULL,407.51059972580947,NULL,NULL,-0.5692735454093841,43.0,5.0,22.0,4.0,32.0,365.5,NULL,817.4561265495902,817.4561265495902,3.0,-0.7,0.5,76.0,-2.666666666666667,0.3333333333333335,-2.333333333333333,1.0,1.0,10.0,2.0,1.0,40.0,10.0,40.0,279.0,81.0,96.0,118.0,126.0,99.0,124.0,130.0,0.4768023580967412,1.0282016813939685,1.6074829800272858,-0.5265918431041238,-0.4317459154038683,-0.7753595945475135,0.5731878490768783,1.2522056220642228,0.1114197690433693,-0.6303165922823921,"BSB273D"
"C11","M1152","933000320186987","M","16.0",-0.6748780604082645,0.0,0.0,0.0,0.0,0.0,nan,NULL,nan,nan,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.33333333333333304,NULL,NULL,nan,NULL,NULL,-0.5578233280282369,22.66666666666667,1.0,1.6666666666666667,11.0,6.0,332.0,NULL,1148.3376228682375,1148.3376228682375,nan,nan,nan,nan,nan,nan,nan,1.0,3.0,4.0,1.0,6.0,6.0,4.0,6.0,246.0,71.0,83.0,127.0,135.0,86.0,133.0,140.0,nan,nan,1.2372891986413288,-0.7090386961326077,-0.4234768706614368,-0.8796639209568814,nan,nan,nan,-0.4908210570973555,"BSB273D"
"C12","F1331","933000320048336","F","2.0",-1.0798518420896752,5.0,6.333333333333332,2.0,5.0,5.0,664.0,NULL,1347.4510581711927,948.4126791645077,35.666666666666664,1.0,38.66666666666666,13.0,18.0,NULL,NULL,134.69883642690948,NULL,NULL,-0.487305491904045,88.33333333333331,0.0,17.333333333333332,15.0,39.0,247.0,NULL,102.09775649922331,102.09775649922331,15.0,-0.3478260869565217,-0.21052631578947367,nan,nan,nan,nan,2.0,12.0,14.0,2.0,62.0,95.0,14.0,95.0,196.0,64.0,75.0,96.0,104.0,78.0,99.0,106.0,1.2224550312281175,1.979465732428796,0.41902990746426855,0.032122505073704635,-0.002217220692240359,0.7892053015930051,-0.2036091968987644,-0.29571082059604303,-0.0905780613650024,-0.2851500746719459,"BSB273C"
"C13","F1431","933000320048970","F","2.0",0.3138092784401453,23.33333333333333,30.0,17.0,3.0,40.0,101.0,NULL,375.4105188944387,375.4105188944387,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,2.0,NULL,NULL,0.0,NULL,NULL,0.8680847162664014,121.33333333333331,0.0,32.0,11.0,57.0,163.0,NULL,163.48668183022386,163.48668183022386,13.0,-0.2777777777777778,-0.3275862068965517,nan,nan,nan,nan,1.0,17.0,13.0,2.0,178.0,77.0,17.0,178.0,143.0,56.0,65.0,86.0,94.0,70.0,91.0,98.0,1.8406516477078223,0.0,0.932114473849216,1.1640725505509606,1.0582357153358648,0.6849009751836371,-0.02646995232252073,-0.3894256434486045,-0.1238573974092935,0.8758914832441173,"BSB273B"
"C14","F1514","933000320188153","F","6.0",0.7707880365296591,36.0,2.333333333333333,2.6666666666666665,nan,nan,nan,NULL,nan,nan,4.666666666666667,0.3333333333333333,0.6666666666666666,nan,nan,NULL,NULL,nan,NULL,NULL,0.2681228812428545,120.0,0.3333333333333333,7.0,27.0,52.0,178.0,NULL,99.61836537328205,99.61836537328205,12.0,-0.625,-0.5764705882352941,nan,nan,nan,nan,12.0,17.0,1.0,62.0,178.0,1.0,17.0,178.0,137.0,62.0,81.0,104.0,111.0,87.0,109.0,115.0,nan,nan,0.5526956833099446,0.7070301411698972,0.5649385739049768,0.16337934313679758,-0.2861040849608107,-0.4629228086130231,-0.19461354526160166,0.6568425964945602,"BSB273B"
"C15","F1603","933000320188097","F","3.0",-1.3129919501106089,0.0,6.666666666666668,0.0,nan,nan,nan,NULL,nan,nan,0.3333333333333333,3.6666666666666665,0.0,nan,1.0,NULL,NULL,nan,NULL,NULL,-1.951375448271228,1.3333333333333333,8.333333333333334,0.3333333333333333,nan,4.0,22.0,NULL,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,61.0,72.0,94.0,102.0,75.0,100.0,107.0,nan,nan,0.0,-1.5453151430334178,-1.5373382795584143,-1.0882725737756171,nan,nan,nan,-1.4944351127453133,"BSB273B"
"C15","M1667","933000320188566","M","14.0",-0.7535980427795461,4.333333333333333,3.0,0.6666666666666666,2.0,4.0,1077.0,NULL,1805.2862404616064,1164.0870528730516,1.6666666666666667,2.6666666666666665,0.3333333333333333,3.0,nan,NULL,NULL,716.0,NULL,NULL,-1.0566219733929023,35.333333333333336,0.3333333333333333,0.6666666666666666,2.0,38.0,316.0,NULL,1348.972603755157,1348.972603755157,12.0,-0.3333333333333333,11.0,nan,nan,nan,nan,1.0,13.0,7.0,1.0,77.0,20.0,13.0,77.0,147.0,54.0,65.0,87.0,95.0,68.0,93.0,100.0,0.9893605745939641,0.6623496762257169,2.354666794108954,0.0360679787194003,0.3283775223493621,0.16337934313679758,2.6016560332592924,1.9871575712105407,3.0964988184115287,0.26980464850330205,"BSB273B"
"C16","F1709","933000320188476","F","7.0",2.1660295881634517,54.33333333333334,0.0,24.66666666666667,27.0,70.0,125.0,NULL,74.007372679602,74.007372679602,94.33333333333331,98.0,150.33333333333334,24.0,103.0,NULL,NULL,159.1953760080579,NULL,NULL,0.5701693207083105,120.0,0.0,10.333333333333334,26.0,53.0,179.0,NULL,88.43737918234635,88.43737918234635,nan,nan,nan,nan,nan,nan,nan,13.0,14.0,12.0,77.0,95.0,62.0,14.0,95.0,172.0,73.0,84.0,107.0,114.0,87.0,112.0,119.0,0.5589416865110369,2.1172614488318158,0.4902963687315223,1.311786750205869,1.0936654490976816,2.1451615449147874,nan,nan,nan,0.7857814385712354,"BSB273B"
